Occupation Title,Typical Entry-Level Education,Occupation Code,Employment 2020,Employment 2030,"Employment Change, 2020-2030","Employment Percent Change, 2020-2030","Occupational Openings, 2020-2030 Annual Average",Median Annual Wage 2020,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
Compensation and benefits managers    * Compensation Director* Employee Benefits Coordinator* Employee Benefits Director* Employee Benefits Manager* Wage and Salary Administrator,Bachelor's degree,11-3111,18.7,19.4,0.7,4,1.5,"125,130",3,5 years or more,1,None,6
Human resources managers    * Employee Relations Manager* Job Analysis Manager* Labor Relations Director* Personnel Administrator* Personnel Director* Personnel Manager* Position Description Manager,Bachelor's degree,11-3121,161.7,176.5,14.8,9.2,14.8,"121,220",3,5 years or more,1,None,6
Training and development managers    * E-Learning Manager* Employee Development Director* Employee Development Manager* Labor Training Manager,Bachelor's degree,11-3131,42.1,46.6,4.5,10.7,4.3,"115,640",3,5 years or more,1,None,6
"Farmers, ranchers, and other agricultural managers    * Agricultural Crop Farm Manager* Animal Husbandry Manager* Aquaculture Farm Manager* Beef Farm Operator* Christmas Tree Farm Manager* Dairy Farm Manager* Fish Hatchery Manager* Greenhouse Manager* Hatchery Manager* Orchard Manager",High school diploma or equivalent,11-9013,888.3,882.6,-5.8,-0.7,84.8,"68,090",7,5 years or more,1,None,6
Construction managers    * Construction Coordinator* Construction Superintendent* General Contractor* Masonry Contractor Administrator,Bachelor's degree,11-9021,448,499.4,51.4,11.5,38.9,"97,180",3,None,4,Moderate-term on-the-job training,4
"Education and childcare administrators, preschool and daycare    * Childcare Center Administrator* Childcare Center Director* Early Head Start Director* Head Start Director* Prekindergarten Program Coordinator* Preschool Director",Bachelor's degree,11-9031,60.8,67.7,6.9,11.4,5.3,"49,160",3,Less than 5 years,2,None,6
"Education administrators, kindergarten through secondary    * Elementary School Principal* High School Principal* Junior High School Principal* K-12 School Principal* K-8 School Principal* Middle School Principal* Secondary School Principal",Master's degree,11-9032,270.2,291.3,21.2,7.8,22.1,"98,490",2,5 years or more,1,None,6
"Education administrators, postsecondary    * Adult Basic Education Manager* Continuing Education Director* Graduate School Dean* Graduate Studies Dean* Provost* University Administrator* University Dean",Master's degree,11-9033,178.8,192.2,13.4,7.5,14.5,"97,500",2,Less than 5 years,2,None,6
"Education administrators, all other",Bachelor's degree,11-9039,50.5,56.9,6.4,12.6,4.5,"87,580",3,Less than 5 years,2,None,6
Architectural and engineering managers    * Electrical Engineering Director* Engineering Design Manager* Engineering Manager* Engineering Research Manager* Global Engineering Manager* Mechanical Engineering Director* Process Engineering Manager,Bachelor's degree,11-9041,197.8,205.9,8.1,4.1,14.7,"149,530",3,5 years or more,1,None,6
Food service managers    * Banquet Director* Banquet Manager* Cafeteria Director* Food Service Director* Food Service Manager* Food and Beverage Manager* Restaurant General Manager* Tavern Operator,High school diploma or equivalent,11-9051,309.8,355.9,46.2,14.9,41.4,"56,590",7,Less than 5 years,2,None,6
Gambling managers    * Bingo Manager* Casino Manager* Gaming Department Head* Gaming Director* Gaming Manager* Slot Operations Director* Slots Manager* Table Games Manager,High school diploma or equivalent,11-9071,3.9,4.7,0.8,20.1,0.4,"75,470",7,Less than 5 years,2,None,6
Lodging managers    * Bed and Breakfast Innkeeper* Boardinghouse Keeper* Hotel Director* Hotel Manager* Hotel Operations Manager* Innkeeper* Lodging Facilities Manager,High school diploma or equivalent,11-9081,48.1,52.2,4.2,8.7,5.8,"56,670",7,Less than 5 years,2,None,6
Medical and health services managers    * Clinic Director* Clinical Services Director* Emergency Medical Service Coordinator* Health Care Manager* Health Services Administrator* Health Services Director* Healthcare Administrator* Healthcare Manager* Hospice Director* Hospice Plan Administrator* Hospital Administrator* Hospital Director* Medical Director* Medical Records Administrator* Medical and Health Information Manager* Mental Health Program Manager* Nursing Home Manager* Nursing Service Director* Occupational Therapy Director* Public Health Administrator* Respiratory Therapy Director* Speech and Hearing Therapy Director* Wellness Director* Wellness Manager,Bachelor's degree,11-9111,429.8,569.4,139.6,32.5,51.8,"104,280",3,Less than 5 years,2,None,6
Natural sciences managers    * Agricultural Research Director* Geochemical Manager* Geophysical Manager* Ocean Program Administrator,Bachelor's degree,11-9121,79,83.5,4.5,5.8,6,"137,940",3,5 years or more,1,None,6
Postmasters and mail superintendents    * Postal Supervisor* Postmaster,High school diploma or equivalent,11-9131,13.2,12.2,-1,-7.7,0.8,"78,060",7,Less than 5 years,2,Moderate-term on-the-job training,4
"Property, real estate, and community association managers    * Apartment Manager* Building Rental Manager* Community Association Manager* Condominium Association Manager* Homeowner Association Manager* Land Acquisition Manager* Leasing Property Manager* Property Manager* Real Estate Manager",High school diploma or equivalent,11-9141,364.1,375.5,11.4,3.1,29.1,"59,660",7,Less than 5 years,2,None,6
Social and community service managers    * Child Welfare Director* Community Service Director* Community Service Organization Director* Family Service Center Director* Neighborhood Service Center Director* Social Service Director* Social Services Director* Youth Program Director,Bachelor's degree,11-9151,174.2,200.7,26.4,15.2,18.3,"69,600",3,Less than 5 years,2,None,6
Emergency management directors    * Director of Civil Defense* Disaster Response Director* EMS Director* Emergency Management System Director* Emergency Planner* Emergency Planning and Response Manager* Emergency Preparedness Coordinator* Emergency Services Director* Emergency Services Program Coordinator* Public Safety Director,Bachelor's degree,11-9161,10.5,11.1,0.7,6.2,1,"76,250",3,5 years or more,1,None,6
Funeral home managers,Associate's degree,11-9171,12.5,12.9,0.4,3.2,1,"74,200",4,Less than 5 years,2,None,6
"Personal service managers, all other; entertainment and recreation managers, except gambling; and managers, all other",Bachelor's degree,11-9198,573,615.3,42.2,7.4,47.1,"116,350",3,Less than 5 years,2,None,6
"Agents and business managers of artists, performers, and athletes    * Artist Manager* Artist Representative* Author's Agent* Band Manager* Booking Agent* Booking Manager* Fight Manager* Literary Agent* Modeling Agent* Talent Agent* Talent Manager* Theatrical Agent",Bachelor's degree,13-1011,18.7,27.3,8.6,46.3,3.4,"75,420",3,Less than 5 years,2,None,6
Buyers and purchasing agents,Bachelor's degree,13-1020,439,415.4,-23.6,-5.4,39.5,"66,690",3,None,4,Moderate-term on-the-job training,4
"Claims adjusters, examiners, and investigators    * Claims Analyst* Fire Claims Adjuster* Health Claims Examiner* Health Insurance Adjuster* Independent Insurance Adjuster* Medical Claims Analyst* Medical Claims Examiner* Property Damage Claims Adjustor* Property and Casualty Insurance Claims Examiner* Reinsurance Claims Analyst* Workers Compensation Claims Adjuster* Workers Compensation Claims Examiner",High school diploma or equivalent,13-1031,333.8,324.7,-9.1,-2.7,24,"68,270",7,None,4,Long-term on-the-job training,3
"Insurance appraisers, auto damage    * Auto Damage Appraiser* Auto Damage Insurance Appraiser* Automobile Damage Appraiser* Vehicle Damage Appraiser",Postsecondary nondegree award,13-1032,15.6,15.7,0.1,0.6,1.2,"65,550",5,None,4,Moderate-term on-the-job training,4
Compliance officers    * Air Pollution Compliance Inspector* Compliance Investigator* Driver's License Examiner* EEO Officer* Environmental Compliance Inspector* Equal Employment Opportunity Investigator* Equal Employment Opportunity Officer* Equal Employment Opportunity Representative* Immigration Investigator* Inspector of Weights and Measures* License Inspector* Mortician Investigator* Wage and Hour Investigator,Bachelor's degree,13-1041,348.7,370.3,21.6,6.2,30,"71,100",3,None,4,Moderate-term on-the-job training,4
Cost estimators    * Construction Estimator* Construction Job Cost Estimator* Crating and Moving Estimator* Electrical Estimator* Job Estimator* Production Cost Estimator,Bachelor's degree,13-1051,199.4,200.6,1.2,0.6,17.8,"66,610",3,None,4,Moderate-term on-the-job training,4
Human resources specialists    * Corporate Recruiter* Credentialing Coordinator* Employee Placement Specialist* Human Resources Generalist* Job Placement Officer* Job Placement Specialist* Job Recruiter* Personnel Coordinator* Personnel Officer* Personnel Recruiter* Personnel Specialist* Staffing Coordinator,Bachelor's degree,13-1071,674.8,745.1,70.2,10.4,73.4,"63,490",3,None,4,None,6
Farm labor contractors    * Farm Labor Contractor* Harvesting Contractor,No formal educational credential,13-1074,0.2,0.3,0,10.6,0,"47,780",8,Less than 5 years,2,Short-term on-the-job training,5
Labor relations specialists    * Employee Relations Specialist* Industrial Relations Analyst* Industrial Relations Specialist* Labor Relations Consultant* Labor Relations Representative* Union Representative,Bachelor's degree,13-1075,73.5,70.3,-3.2,-4.3,6.4,"73,240",3,Less than 5 years,2,None,6
Logisticians    * Logistician* Logistics Analyst* Logistics Coordinator* Logistics Planner* Logistics Specialist,Bachelor's degree,13-1081,191,247.3,56.4,29.5,24.5,"76,270",3,None,4,None,6
Management analysts    * Business Analyst* Business Consultant* Business Management Analyst* Business Process Consultant* Clerical Methods Analyst* Commercial Specialist* Industrial Analyst* Management Analyst* Management Consultant* Records Management Analyst,Bachelor's degree,13-1111,907.6,"1,032.00",124.4,13.7,99.4,"87,660",3,Less than 5 years,2,None,6
"Meeting, convention, and event planners    * Certified Meeting Professional* Conference Organizer* Conference Planner* Conference Planning Manager* Conference Services Director* Conference Services Manager* Convention Planner* Convention Services Manager* Corporate Meeting Planner* Event Planner* Events Manager* Wedding Planner",Bachelor's degree,13-1121,125.9,148,22.1,17.5,16.4,"51,560",3,None,4,None,6
Fundraisers    * Campaign Fundraiser* Donor Relations Officer* Fundraising Officer,Bachelor's degree,13-1131,101.3,117.5,16.1,15.9,12,"59,610",3,None,4,None,6
"Compensation, benefits, and job analysis specialists    * Benefits Analyst* Compensation Analyst* Compensation Specialist* Employee Benefits Specialist* Job Analyst* Job Specification Writer* Occupational Analyst* Pension Administrator* Position Classification Specialist* Retirement Plan Specialist",Bachelor's degree,13-1141,91.9,100.7,8.8,9.6,9.4,"67,190",3,Less than 5 years,2,None,6
Training and development specialists    * Computer Training Specialist* Corporate Trainer* Employee Development Specialist* Job Training Specialist* Training Coordinator* Training Specialist* Workforce Development Specialist,Bachelor's degree,13-1151,328.7,364.2,35.5,10.8,35.2,"62,700",3,Less than 5 years,2,None,6
Market research analysts and marketing specialists    * Market Research Analyst* Market Research Specialist* Marketing Analyst* Marketing Consultant* Marketing Forecaster* Marketing Specialist,Bachelor's degree,13-1161,740.9,904.5,163.6,22.1,96,"65,810",3,None,4,None,6
"Project management specialists and business operations specialists, all other",Bachelor's degree,13-1198,"1,777.30","1,876.50",99.2,5.6,141.9,"77,420",3,None,4,None,6
Accountants and auditors    * Account Auditor* Accountant* Auditor* Auditor-In-Charge* CPA* Certified Public Accountant* Cost Accountant* Field Auditor* Financial Accountant* Financial Auditor* Fund Accountant* Internal Auditor* Payroll Auditor* Tax Accountant,Bachelor's degree,13-2011,"1,392.20","1,488.20",96,6.9,135,"73,560",3,None,4,None,6
Property appraisers and assessors,Bachelor's degree,13-2020,78.7,82.1,3.4,4.4,6.3,"58,650",3,None,4,Long-term on-the-job training,3
Budget analysts    * Budget Analyst* Budget Coordinator* Budget Examiner* Budget Officer* Cost Analyst,Bachelor's degree,13-2031,52.5,55,2.5,4.8,4.3,"78,970",3,None,4,None,6
Credit analysts    * Chief Credit Analyst* Credit Analyst* Credit Assessment Analyst* Credit Risk Analyst* Factorer,Bachelor's degree,13-2041,73,68.8,-4.3,-5.8,5.5,"74,970",3,None,4,None,6
Personal financial advisors    * Certified Financial Planner* Estate Planner* Estate Planning Counselor* Financial Counselor* Individual Pension Adviser* Individual Pension Consultant* Personal Financial Advisor* Personal Financial Planner* Personal Investment Adviser,Bachelor's degree,13-2052,275.2,287.8,12.6,4.6,21.5,"89,330",3,None,4,Long-term on-the-job training,3
Insurance underwriters    * Automobile and Property Underwriter* Bond Underwriter* Insurance Analyst* Insurance Underwriter* Insurance Writer* Underwriting Account Representative* Underwriting Service Representative,Bachelor's degree,13-2053,119.4,117.2,-2.2,-1.8,8.3,"71,790",3,None,4,Moderate-term on-the-job training,4
Financial examiners    * Bank Compliance Officer* Bank Examiner* Financial Compliance Examiner* Home Mortgage Disclosure Act Specialist* Payroll Examiner* Pension Examiner,Bachelor's degree,13-2061,70.8,83.5,12.7,17.9,6.9,"81,430",3,None,4,Long-term on-the-job training,3
Credit counselors    * Credit Counselor* Debt Management Counselor* Financial Assistance Advisor* Loan Counselor,Bachelor's degree,13-2071,33.8,36.9,3,9,3,"46,170",3,None,4,Moderate-term on-the-job training,4
Loan officers    * Branch Lending Officer* Commercial Lender* Loan Analyst* Loan Officer* Loan Reviewer* Real Estate Loan Officer,Bachelor's degree,13-2072,322.1,326.4,4.3,1.3,25,"63,960",3,Less than 5 years,2,Moderate-term on-the-job training,4
"Tax examiners and collectors, and revenue agents    * City Collector* Customs Appraiser* Income Tax Adjuster* Internal Revenue Agent* Internal Revenue Service Agent* Revenue Collector* Revenue Enforcement Agent* Tax Compliance Officer* Tax Compliance Representative* Tax Examiner* Tax Investigator* Tax Revenue Officer",Bachelor's degree,13-2081,56.9,54.8,-2.1,-3.7,4.4,"55,640",3,None,4,Moderate-term on-the-job training,4
Tax preparers    * Corporate Tax Preparer* Income Tax Advisor* Income Tax Preparer* Licensed Tax Consultant* Tax Consultant* Tax Specialist,High school diploma or equivalent,13-2082,87.4,88.8,1.4,1.6,9.8,"44,300",7,None,4,Moderate-term on-the-job training,4
"Financial and investment analysts, financial risk specialists, and financial specialists, all other",Bachelor's degree,13-2098,492.1,523.4,31.3,6.4,41,"83,660",3,None,4,None,6
Computer systems analysts,Bachelor's degree,15-1211,607.8,650.6,42.8,7,47.5,"93,730",3,None,4,None,6
Information security analysts,Bachelor's degree,15-1212,141.2,188.3,47.1,33.3,16.3,"103,590",3,Less than 5 years,2,None,6
Computer and information research scientists,Master's degree,15-1221,33,40.2,7.2,21.9,3.2,"126,830",2,None,4,None,6
Computer network support specialists,Associate's degree,15-1231,189.8,204,14.2,7.5,15.5,"65,450",4,None,4,None,6
Computer user support specialists,"Some college, no degree",15-1232,654.8,712.8,58,8.9,54.8,"52,690",6,None,4,None,6
Computer network architects,Bachelor's degree,15-1241,165.2,174.2,9,5.5,11,"116,780",3,5 years or more,1,None,6
Network and computer systems administrators,Bachelor's degree,15-1244,350.3,369.1,18.8,5.4,24.9,"84,810",3,None,4,None,6
Database administrators and architects,Bachelor's degree,15-1245,168,181.2,13.2,7.8,13.9,"98,860",3,None,4,None,6
Computer programmers,Bachelor's degree,15-1251,185.7,167.3,-18.3,-9.9,9.7,"89,190",3,None,4,None,6
Software developers and software quality assurance analysts and testers,Bachelor's degree,15-1256,"1,847.90","2,257.40",409.5,22.2,189.2,"110,140",3,None,4,None,6
Web developers and digital interface designers,Bachelor's degree,15-1257,199.4,224.9,25.5,12.8,17.9,"77,200",3,None,4,None,6
"Computer occupations, all other",Bachelor's degree,15-1299,442.2,483,40.7,9.2,37.5,"92,870",3,None,4,None,6
Actuaries    * Actuarial Associate* Actuarial Mathematician* Health Actuary* Insurance Actuary* Pricing Actuary* Product Development Actuary,Bachelor's degree,15-2011,27.7,34.5,6.8,24.5,2.4,"111,030",3,None,4,Long-term on-the-job training,3
Mathematicians    * Algebraist* Cipher Expert* Cryptanalyst* Cryptographer* Cryptographic Vulnerability Analyst* Geometrician* Mathematician,Master's degree,15-2021,2.7,2.8,0.1,2.7,0.2,"110,860",2,None,4,None,6
Operations research analysts    * Operations Analyst* Operations Research Analyst* Procedure Analyst* Process Analyst,Bachelor's degree,15-2031,104.1,129.7,25.6,24.6,10.2,"86,200",3,None,4,None,6
Statisticians    * Analytical Statistician* Applied Statistician* Biometrician* Biostatistician* Environmental Statistician* Mathematical Statistician* Research Biostatistician* Sampling Expert* Statistical Analyst* Statistical Reporting Analyst* Statistician* Survey Statistician* Time Study Statistician,Master's degree,15-2041,42,56.9,14.9,35.4,5,"92,270",2,None,4,None,6
"Data scientists and mathematical science occupations, all other",Bachelor's degree,15-2098,63.2,83,19.8,31.4,7.1,"98,230",3,None,4,None,6
"Architects, except landscape and naval    * Building Architect* Building Architectural Designer* Structural Architect",Bachelor's degree,17-1011,126.7,130.7,3.9,3.1,9.4,"82,320",3,None,4,Internship/residency,1
Landscape architects    * Golf Course Architect* Golf Course Designer* Landscape Designer* Lanscape Architect,Bachelor's degree,17-1012,23.7,23.6,-0.1,-0.3,1.6,"70,630",3,None,4,Internship/residency,1
"Cartographers and photogrammetrists    * Cadastral Mapper* Digital Cartographer* Engineer, Photogrammetric* Map Maker* Mapper* Orthophotography Technician* Photo Cartographer* Photogrammetrist* Topographer",Bachelor's degree,17-1021,13.2,13.9,0.7,5.4,1.2,"68,380",3,None,4,None,6
Surveyors    * City Surveyor* County Surveyor* Geodetic Surveyor* Geophysical Prospecting Surveyor* Land Surveyor* Mine Surveyor* Mineral Surveyor* Registered Land Surveyor* Topographical Surveyor,Bachelor's degree,17-1022,46,46.7,0.7,1.6,4,"65,590",3,None,4,Internship/residency,1
Aerospace engineers    * Aerodynamics Engineer* Aeronautical Engineer* Aerospace Engineer* Aircraft Design Engineer* Aircraft Designer* Aircraft Engineer* Astronautical Engineer* Flight Systems Test Engineer* Flight Test Engineer* Wind Tunnel Engineer,Bachelor's degree,17-2011,61.4,66.5,5.1,8.3,4,"118,610",3,None,4,None,6
Agricultural engineers    * Agricultural Engineer* Agricultural Production Engineer* Agricultural Research Engineer* Farm Equipment Engineer* Research Agricultural Engineer,Bachelor's degree,17-2021,1.5,1.5,0.1,4.5,0.1,"84,410",3,None,4,None,6
Bioengineers and biomedical engineers    * Bio-Mechanical Engineer* Biochemical Engineer* Biomaterials Engineer* Biomedical Engineer* Dialysis Engineer* Genetic Engineer,Bachelor's degree,17-2031,19.3,20.5,1.1,5.9,1.4,"92,620",3,None,4,None,6
Chemical engineers    * Absorption and Adsorption Engineer* Chemical Process Engineer* Chemical Research Engineer* Fuels Engineer* Oxidation Engineer* Plastics Engineer* Polymerization Engineer* Refinery Process Engineer,Bachelor's degree,17-2041,26.3,28.7,2.4,9.3,1.8,"108,540",3,None,4,None,6
Civil engineers    * Architectural Engineer* Bridge Engineer* Civil Engineer* Construction Engineer* Facilities Engineer* Geotechnical Engineer* Highway Engineer* Hydrographic Engineer* Railroad Design Consultant* Research Hydraulic Engineer* Structural Engineer,Bachelor's degree,17-2051,309.8,335.1,25.3,8.2,25,"88,570",3,None,4,None,6
Computer hardware engineers    * Computer Hardware Designer* Computer Hardware Developer* Computer Hardware Engineer,Bachelor's degree,17-2061,66.2,67.3,1,1.5,4.5,"119,560",3,None,4,None,6
Electrical engineers    * Electrical Design Engineer* Electrical Engineer* Electrical Systems Engineer* Illuminating Engineer* Power Distribution Engineer,Bachelor's degree,17-2071,188,200.7,12.7,6.8,13.7,"100,830",3,None,4,None,6
"Electronics engineers, except computer    * Antenna Engineer* Circuit Design Engineer* Electronic Design Automation Engineer* Electronic Engineer* Electronic Parts Designer* Telecommunication Engineer",Bachelor's degree,17-2072,125.2,132.9,7.7,6.2,9,"107,540",3,None,4,None,6
Environmental engineers    * Air Pollution Control Engineer* Environmental Engineer* Environmental Remediation Engineer* Hazardous Substances Engineer* Hazardous Waste Management Control Engineer* Pollution Control Engineer* Soil Engineer* Waste Management Engineer* Wastewater Treatment Engineer* Water Treatment Plant Engineer,Bachelor's degree,17-2081,52.3,54.3,1.9,3.7,4,"92,120",3,None,4,None,6
"Health and safety engineers, except mining safety engineers and inspectors    * Fire Prevention Engineer* Fire Protection Engineer* Industrial Safety Engineer* Product Safety Engineer* Product Safety Test Engineer* System Safety Engineer",Bachelor's degree,17-2111,24.1,25.6,1.5,6.1,1.7,"94,240",3,None,4,None,6
Industrial engineers    * Efficiency Engineer* Manufacturing Engineer* Packaging Engineer* Production Engineer,Bachelor's degree,17-2112,292,332,40,13.7,23.3,"88,950",3,None,4,None,6
Marine engineers and naval architects    * Marine Architect* Marine Equipment Engineer* Marine Structural Designer* Naval Engineer* Ships Equipment Engineer,Bachelor's degree,17-2121,9.8,10.2,0.4,3.9,0.5,"95,440",3,None,4,None,6
Materials engineers    * Automotive Sheet Metal Engineer* Ceramic Engineer* Forensic Materials Engineer* Glass Science Engineer* Metallographer* Metallurgical Engineer* Metallurgist* Welding Engineer,Bachelor's degree,17-2131,25.1,27.2,2.1,8.4,1.8,"95,640",3,None,4,None,6
Mechanical engineers    * Auto Research Engineer* Combustion Engineer* Engine Designer* Heating and Cooling Systems Engineer* Mechanical Engineer* Tool Engineer* Tool and Die Engineer,Bachelor's degree,17-2141,299.2,320.1,20.9,7,20.2,"90,160",3,None,4,None,6
"Mining and geological engineers, including mining safety engineers    * Geophysical Engineer* Mineral Engineer* Mining Engineer* Seismic Engineer",Bachelor's degree,17-2151,6.3,6.6,0.2,3.9,0.4,"93,800",3,None,4,None,6
Nuclear engineers    * Atomic Process Engineer* Nuclear Engineer* Nuclear Radiation Engineer* Nuclear Steam Supply System Engineer* Radiation Engineer* Reactor Engineer* Reactor Projects Engineer,Bachelor's degree,17-2161,17.2,15.8,-1.5,-8.4,0.9,"116,140",3,None,4,None,6
Petroleum engineers    * Natural Gas Engineer* Oil Drilling Engineer* Oil Exploration Engineer* Oil Well Engineer* Petroleum Engineer,Bachelor's degree,17-2171,28.5,30.7,2.2,7.6,2.1,"137,330",3,None,4,None,6
"Engineers, all other    * Corrosion Control Engineer* Mathematical Engineer* Optical Engineer* Ordnance Engineer* Photonics Engineer* Salvage Engineer",Bachelor's degree,17-2199,167.1,171.6,4.4,2.7,11,"103,380",3,None,4,None,6
Architectural and civil drafters    * Architectural Drafter* Building Drafter* Civil Computer-Aided Design and Drafting Technician* Civil Drafter* Structural Drafter,Associate's degree,17-3011,99.9,99,-0.9,-0.9,9.3,"57,500",4,None,4,None,6
Electrical and electronics drafters    * Circuit Board Drafter* Electrical Computer Aided Design and Drafting Technician* Electrical Drafter* Electrical Systems Drafter* Electronic Drafter* Printed Circuit Board Drafter,Associate's degree,17-3012,24,24.5,0.6,2.3,2.3,"62,100",4,None,4,None,6
Mechanical drafters    * Aeronautical Drafter* Automotive Design Drafter* Die Designer* Gage Designer* Mechanical Design Drafter* Mechanical Drafter* Tool Designer* Tool and Die Designer,Associate's degree,17-3013,53.6,51,-2.5,-4.7,4.7,"58,270",4,None,4,None,6
"Drafters, all other    * Blueprint Tracer* Drafting Layout Worker* Draughtsman* Geological Drafter* Marine Drafter",Associate's degree,17-3019,14.4,13.6,-0.8,-5.4,1.2,"54,500",4,None,4,None,6
Aerospace engineering and operations technologists and technicians    * Altitude Chamber Technician* Flight Data Technician* Wind Tunnel Technician,Associate's degree,17-3021,11.9,12.9,1.1,8.9,1.2,"68,570",4,None,4,None,6
Civil engineering technologists and technicians    * Civil Engineering Technician* Concrete Engineering Technician* Geotechnical Engineering Technician* Highway Engineering Technician* Structural Engineering Technician* Transportation Engineering Technician,Associate's degree,17-3022,68.8,70,1.2,1.8,6.5,"54,080",4,None,4,None,6
Electrical and electronic engineering technologists and technicians    * Electrical Design Technician* Electrical Engineering Technician* Electrical Power Station Technician* Electronic Instrument Testing Technician* Lighting Engineering Technician* Programmable Logic Controller Programmer* Semiconductor Development Technician,Associate's degree,17-3023,117,118.9,1.9,1.6,11,"67,550",4,None,4,None,6
Electro-mechanical and mechatronics technologists and technicians    * Remotely Piloted Vehicle Engineering Technician* Robotics Testing Technician,Associate's degree,17-3024,13.4,13.1,-0.2,-1.7,1.2,"59,800",4,None,4,None,6
Environmental engineering technologists and technicians    * Air Analysis Engineering Technician* Environmental Remediation Engineering Technician* Environmental Technician* Pollution Control Engineering Technician,Associate's degree,17-3025,17.3,18.6,1.3,7.8,1.8,"51,630",4,None,4,None,6
Industrial engineering technologists and technicians    * Industrial Engineering Technician* Motion Study Technician* Production Control Technologist* Time Study Technician* Time Study Technologist,Associate's degree,17-3026,64.1,66.9,2.8,4.4,6.3,"57,320",4,None,4,None,6
Mechanical engineering technologists and technicians    * Gyroscopic Engineering Technician* Heat Transfer Technician* Hydraulic Technician* Mechanical Engineering Technician* Optomechanical Technician,Associate's degree,17-3027,40.4,42.7,2.3,5.7,4,"58,230",4,None,4,None,6
Surveying and mapping technicians    * Cartographic Aide* Cartographic Technician* Field Map Technician* GIS Mapping Technician* Geophysical Prospecting Surveying Technician* Mapping Technician* Mineral Surveying Technician* Surveying Technician* Topography Technician,High school diploma or equivalent,17-3031,54.8,56.9,2,3.7,7,"46,200",7,None,4,Moderate-term on-the-job training,4
"Calibration technologists and technicians and engineering technologists and technicians, except drafters, all other",Associate's degree,17-3098,94.7,98.8,4.1,4.4,9.3,"64,190",4,None,4,None,6
